canonico_propuesto,variantes,total
jugos_naturales,"jugos-naturales",2
ropa,"tienda-ropa",2
tienda-conveniencia,"tienda_de_conveniencia",2
aire-acondicionado,"venta-de-aire-acondicionado",2
dark_kitchen_de_pollo_rostizado_frito_o_a_la_barbacoa,"pollo_rostizado_frito_o_a_la_barbacoa",2
fabricacion_de_materiales_de_construccion,"materiales_de_construccion",2
logistica_transporte,"logistica_y_transporte;transporte_y_logistica",3
mantenimiento_industrial,"servicios_de_mantenimiento_industrial",2
negocios_de_venta_de_alimentos,"venta_de_alimentos",2
restaurante_bar,"restaurante_sport_bar",2
salon_de_belleza,"salon-belleza",2
soluciones_de_conectividad_y_tecnologia,"techco_soluciones_de_conectividad_y_tecnologia;tecnologia_y_conectividad",3
tienda-de-guitarras,"tienda-guitarras-musical;tienda-guitarras-pro",3
tienda_de_abarrotes,"tienda_de_abarrotes_y_deposito",2
tienda_de_articulos_de_fiesta,"tienda_de_articulos_de_fiesta_globos_y_regalos",2
venta_de_comida_a_domicilio,"venta_de_comida_solo_servicio_a_domicilio",2
venta_de_productos_artesanales_salsas_moles_mezcal_cafe,"venta_de_productos_artesanales_salsas_moles_mezcal_cafe_etcetera",2
