Time,RAM_Pct,RAM_FreeGB,Commit_Pct,CPU_Pct,CPU_MHz,MaxMHz,Throttle_Pct,DiskQueueC,DiskReadMBs,DiskWriteMBs,ChromeGB,ClaudeGB,FirefoxGB,TopProc,TopMB,Alert
06:58:03,69.8,4.75,86,35,1498,1498,100,0,0.1,0.2,3.41,2.8,1.94,claude,600,
06:58:30,70.4,4.66,86.7,32,1498,1498,100,0,0,0,3.41,2.92,1.88,claude,701,
06:58:53,67.2,5.16,82.9,11,1498,1498,100,0,0,0,3.41,2.87,1.89,claude,684,
06:59:15,67.3,5.14,83,25,1498,1498,100,0,0,0.6,3.41,2.88,1.94,claude,686,
06:59:38,66.9,5.2,82.6,19,1498,1498,100,0,0,0,3.39,2.76,1.8,claude,631,
07:00:00,66.2,5.32,82.8,39,1498,1498,100,0,0,0.7,3.39,2.77,1.81,claude,629,
07:00:23,66.4,5.29,82.9,15,1498,1498,100,0,0,0.9,3.39,2.73,1.86,claude,615,
07:00:48,64.7,5.55,81.1,12,1498,1498,100,0,0,0,3.39,2.74,1.79,claude,614,
07:01:10,65,5.51,81.3,21,1498,1498,100,0,0,0,3.4,2.8,1.78,claude,650,
07:01:32,65,5.5,81.5,13,1498,1498,100,0,0,0,3.4,2.75,1.84,claude,648,
07:01:55,64.7,5.56,81.1,23,1498,1498,100,0,0,0,3.39,2.75,1.79,claude,656,
07:02:17,65.5,5.42,81.7,14,1498,1498,100,0,0,0,3.39,2.75,1.8,claude,638,
07:02:40,65.2,5.47,81.6,24,1498,1498,100,0,23.7,0.7,3.39,2.76,1.79,claude,651,
07:03:03,66.2,5.31,81.7,28,1498,1498,100,0,4.4,0,3.39,2.77,1.78,claude,656,
07:03:25,66.4,5.29,82.1,49,1498,1498,100,0,7.1,22.1,3.4,3.04,1.8,claude,671,
07:03:47,66.9,5.2,83,57,1498,1498,100,1,8.7,1.6,3.39,2.96,1.78,claude,683,
07:04:08,68.1,5.02,83.4,12,1498,1498,100,0,0,0,3.4,2.8,1.8,claude,676,
07:04:31,68.1,5.02,83.3,11,1498,1498,100,0,0,0.1,3.4,2.82,1.8,claude,683,
07:04:53,66.1,5.33,83.1,14,1498,1498,100,0,7.1,0,3.34,2.8,1.61,claude,675,
07:05:15,66.1,5.33,83.1,16,1498,1498,100,0,0,0,3.35,2.78,1.61,claude,675,
07:05:37,66.1,5.33,83.1,20,1498,1498,100,0,0,0,3.35,2.8,1.61,claude,678,
07:06:00,66.2,5.31,83.1,14,1498,1498,100,0,0,0,3.35,2.8,1.62,claude,678,
07:06:22,67.1,5.18,84,14,1498,1498,100,0,0,0,3.35,2.85,1.65,claude,698,
07:06:45,67.6,5.1,84.2,17,1498,1498,100,0,0,0,3.35,2.83,1.69,claude,696,
07:07:07,62.7,5.86,83.6,12,1498,1498,100,0,0,0,3.29,2.72,1.51,claude,643,
07:07:30,62.9,5.83,83.7,22,1498,1498,100,0,1.6,0,3.29,2.75,1.57,claude,648,
07:07:52,64,5.67,84.5,5,1498,1498,100,0,0,0,3.29,2.77,1.56,claude,649,
07:08:14,63.1,5.8,83.7,10,1498,1498,100,0,0,0,3.29,2.77,1.51,claude,651,
07:08:36,63.3,5.77,83.9,17,1498,1498,100,0,0,0,3.29,2.75,1.57,claude,654,
07:08:59,63.9,5.68,84.3,14,1498,1498,100,0,0,0,3.29,2.79,1.57,claude,662,
07:09:21,64,5.67,84.6,21,1498,1498,100,0,0,0.3,3.29,2.78,1.53,claude,663,
07:09:44,64,5.66,85.3,9,1498,1498,100,0,0,0,3.16,2.78,1.49,claude,661,
07:10:06,63.4,5.75,84.8,14,1498,1498,100,0,0,0,3.16,2.77,1.45,claude,662,
07:10:29,63.8,5.7,84.6,13,1498,1498,100,0,0,0.8,3.16,2.76,1.46,claude,663,
07:10:51,64.1,5.64,84.9,9,1498,1498,100,0,0,0,3.16,2.77,1.5,claude,662,
07:11:13,64,5.66,84.9,18,1498,1498,100,1,0,0,3.16,2.77,1.44,claude,666,
07:11:35,64.6,5.57,85.5,12,1498,1498,100,0,0,0,3.17,2.82,1.44,claude,662,
07:11:57,63.8,5.7,84.8,26,1498,1498,100,0,0,0,3.16,2.75,1.46,claude,662,
07:12:18,64.6,5.57,85.2,44,1498,1498,100,0,0.2,1.7,3.17,2.77,1.52,claude,660,
07:12:41,65.4,5.45,86.1,25,1498,1498,100,0,0,0,3.17,2.83,1.52,claude,668,
07:13:03,64.8,5.53,85.4,9,1498,1498,100,0,0,0,3.17,2.77,1.54,claude,652,
07:13:25,64.8,5.53,85.5,13,1498,1498,100,0,0,0,3.17,2.77,1.53,claude,653,
07:13:47,63.8,5.7,81.8,61,1498,1498,100,0,0,0,3.17,2.49,1.55,claude,668,
07:14:09,63.6,5.72,81.8,37,1498,1498,100,0,0,0,3.17,2.59,1.59,claude,731,
07:14:32,63.6,5.73,81.6,24,1498,1498,100,0,0,0,3.17,2.55,1.55,claude,712,
07:14:54,63.1,5.81,81.2,12,1498,1498,100,0,0,0,3.17,2.49,1.55,claude,683,
07:15:16,63.4,5.75,81.7,33,1498,1498,100,0,0,0.3,3.18,2.51,1.55,claude,686,
07:15:38,64.3,5.61,82.7,16,1498,1498,100,0,0,3.4,3.18,2.49,1.53,claude,682,
07:16:01,64.3,5.62,82.5,16,1498,1498,100,0,0,0,3.18,2.53,1.53,claude,686,
07:16:22,64.7,5.55,82.8,12,1498,1498,100,0,0,0.1,3.18,2.55,1.55,claude,687,
07:16:45,64.8,5.53,83,14,1498,1498,100,0,0,0.1,3.2,2.58,1.55,claude,698,
07:17:09,65,5.5,83.1,11,1498,1498,100,0,0,0.1,3.26,2.55,1.59,claude,685,
07:17:31,63.6,5.72,81.8,10,1498,1498,100,0,0,0,3.26,2.48,1.55,claude,686,
07:17:54,63.7,5.71,81.9,18,1498,1498,100,0,0,0,3.26,2.5,1.55,claude,690,
07:18:15,63.9,5.68,82.2,21,1498,1498,100,0,0,0.1,3.26,2.49,1.59,claude,689,
07:18:38,65.6,5.41,83.8,10,1498,1498,100,0,0,0,3.43,2.51,1.59,claude,694,
