Time,RAM_Pct,RAM_FreeGB,Commit_Pct,CPU_Pct,CPU_MHz,DiskQ,ChromeGB,ClaudeGB,FFoxGB,Batt_Pct,Alert
07:18:29,64.7,5.56,83.1,25,1498,0,3.27,2.5,1.59,50,
07:18:51,65.3,5.46,83.5,21,1498,0,3.42,2.52,1.53,50,
07:19:13,65.2,5.47,83.7,21,1498,0,3.58,2.52,1.56,50,
07:19:35,65.4,5.45,83.6,11,1498,0,3.59,2.51,1.56,50,
07:19:58,65.5,5.43,83.7,9,1498,0,3.58,2.53,1.55,50,
07:20:19,66,5.35,84,11,1498,0,3.59,2.49,1.59,51,
07:20:41,64.5,5.58,82.6,7,1498,0,3.57,2.47,1.54,51,
07:21:03,64.4,5.6,82.4,6,1498,0,3.56,2.47,1.53,51,
07:21:25,64.5,5.58,82.5,1,1498,0,3.55,2.47,1.55,51,
07:21:47,64.7,5.55,82.7,11,1498,0,3.55,2.47,1.58,51,
07:22:09,63.1,5.8,82.3,4,1498,0,3.53,2.39,1.53,51,
07:22:32,63.4,5.76,82.6,3,1498,0,3.54,2.39,1.55,51,
07:22:54,63.3,5.77,82.5,4,1498,0,3.53,2.39,1.55,52,
07:23:16,63.3,5.78,82.4,2,1498,0,3.54,2.4,1.53,52,
07:23:37,63.4,5.76,82.5,8,1498,0,3.54,2.4,1.55,52,
07:24:00,63.7,5.71,82.8,4,1498,0,3.54,2.38,1.59,52,
07:24:21,63.3,5.77,82.3,8,1498,0,3.54,2.38,1.53,52,
07:24:43,63.4,5.75,82.4,9,1498,0,3.54,2.39,1.54,53,
07:25:05,63.6,5.72,82.6,4,1498,0,3.54,2.39,1.58,53,
07:25:27,63.3,5.77,82.3,5,1498,0,3.54,2.39,1.53,53,
07:25:49,63,5.82,82.1,2,1498,0,3.54,2.35,1.53,54,
07:26:11,63.1,5.8,82.2,9,1498,0,3.54,2.35,1.55,54,
07:26:33,62.6,5.89,81.6,4,1498,0,3.54,2.33,1.47,54,
07:26:56,62.5,5.9,81.6,8,1498,0,3.54,2.33,1.49,55,
07:27:18,62.5,5.9,81.6,7,1498,0,3.54,2.33,1.47,55,
07:27:40,62.7,5.87,81.8,3,1498,0,3.54,2.34,1.49,56,
07:28:03,62.9,5.83,82,3,1498,0,3.54,2.34,1.53,56,
07:28:25,62.7,5.87,81.7,8,1498,0,3.54,2.35,1.47,56,
07:28:47,63.2,5.79,82.3,2,1498,0,3.54,2.34,1.49,56,
07:29:09,63,5.82,82.2,2,1498,0,3.54,2.31,1.49,57,
07:29:30,62.9,5.83,82,3,1498,0,3.54,2.31,1.47,57,
07:29:53,62.1,5.96,80.9,1,1498,0,3.54,2.17,1.47,57,
07:30:15,62,5.97,80.9,1,1498,0,3.54,2.17,1.47,58,
07:30:37,62,5.97,80.9,3,1498,0,3.54,2.17,1.47,58,
07:31:00,62,5.97,81,5,1498,0,3.54,2.17,1.48,58,
07:31:22,62.4,5.92,81.3,5,1498,0,3.54,2.17,1.53,59,
07:31:44,62,5.97,80.9,3,1498,0,3.54,2.17,1.47,59,
07:32:07,61.2,6.11,77.3,1,1498,0,3.54,1.86,1.49,60,
07:32:28,61.4,6.07,77.6,2,1498,0,3.54,1.87,1.53,60,
07:32:50,60.9,6.15,77,0,1498,0,3.54,1.87,1.47,60,
07:33:12,61.1,6.12,77.2,2,1498,0,3.54,1.87,1.49,60,
07:33:34,61.1,6.12,77.2,3,1498,0,3.54,1.87,1.49,61,
07:33:56,61,6.14,77,12,1498,0,3.54,1.87,1.47,61,
07:34:18,61.2,6.11,77.3,6,1498,0,3.54,1.87,1.53,61,
07:34:40,61.2,6.11,77.2,0,1498,0,3.54,1.87,1.49,62,
07:35:03,61.1,6.12,77.2,3,1498,0,3.54,1.87,1.49,62,
07:35:25,60.3,6.24,74.2,2,1498,0,3.54,1.57,1.53,63,
07:35:47,60.1,6.28,73.9,2,1498,0,3.54,1.58,1.48,63,
07:36:10,59.9,6.3,73.8,0,1498,0,3.54,1.58,1.47,63,
07:36:31,60.1,6.28,74,2,1498,0,3.54,1.58,1.5,63,
07:36:53,60.1,6.28,73.9,3,1498,0,3.54,1.58,1.49,64,
07:37:15,59.3,6.4,73.8,4,1498,0,3.54,1.55,1.47,64,
07:37:37,59.5,6.37,73.9,0,1498,0,3.53,1.55,1.49,64,
07:37:59,59.8,6.33,74.2,4,1498,0,3.53,1.55,1.48,65,
07:38:21,59.6,6.36,74,0,1498,0,3.54,1.55,1.49,65,
07:38:44,59.8,6.32,74.2,3,1498,0,3.54,1.55,1.53,65,
07:39:06,59.4,6.39,73.8,11,1498,0,3.54,1.55,1.47,66,
07:39:28,59.6,6.36,74,5,1498,0,3.54,1.55,1.49,66,
07:39:50,59.5,6.37,73.9,0,1498,0,3.54,1.55,1.49,66,
07:40:13,59.4,6.38,73.8,0,1498,0,3.54,1.55,1.47,67,
07:40:34,59.4,6.38,73.8,1,1498,0,3.54,1.55,1.47,67,
07:40:56,59.4,6.38,73.8,0,1498,0,3.54,1.55,1.47,67,
07:41:19,59.4,6.38,73.8,2,1498,0,3.54,1.55,1.47,68,
07:41:40,60.4,6.23,74.6,3,1498,0,3.54,1.55,1.49,68,
07:42:02,60.8,6.17,75,12,1498,0,3.54,1.55,1.49,68,
07:42:24,61.3,6.09,75.4,13,1498,0,3.54,1.55,1.49,69,
07:42:47,61.8,6.01,75.6,5,1498,0,3.54,1.55,1.53,69,
07:43:09,61.3,6.08,75.2,2,1498,0,3.54,1.55,1.53,69,
07:43:31,59.8,6.33,72,5,1498,0,3.54,1.25,1.53,69,
07:43:54,59.9,6.3,72.2,6,1498,0,3.54,1.25,1.52,70,
07:44:16,59.7,6.34,72,7,1498,0,3.55,1.25,1.52,70,
07:44:37,59.6,6.36,71.9,1,1498,0,3.55,1.25,1.49,70,
07:45:00,59.6,6.35,72,0,1498,0,3.54,1.25,1.53,71,
07:45:22,59.9,6.3,72.2,3,1498,0,3.55,1.25,1.53,71,
07:45:43,59.3,6.4,71.6,1,1498,0,3.55,1.25,1.47,71,
07:46:05,59.4,6.38,71.7,3,1498,0,3.54,1.25,1.49,72,
07:46:28,59.8,6.32,72.1,14,1498,0,3.55,1.25,1.55,72,
07:46:50,59.4,6.39,71.6,1,1498,0,3.55,1.25,1.49,72,
07:47:12,59.6,6.36,71.9,4,1498,0,3.55,1.25,1.52,73,
07:47:34,59.5,6.37,71.7,3,1498,0,3.55,1.25,1.51,73,
07:47:56,59.4,6.39,71.6,1,1498,0,3.54,1.25,1.5,73,
07:48:19,59.4,6.38,71.7,3,1498,0,3.54,1.25,1.51,74,
07:48:40,59.8,6.32,72,17,1498,0,3.55,1.25,1.55,74,
07:49:02,59.4,6.38,71.6,0,1498,0,3.55,1.25,1.5,74,
07:49:25,59.7,6.34,72,6,1498,0,3.55,1.25,1.55,75,
07:49:46,59.6,6.35,71.9,7,1498,0,3.55,1.25,1.49,75,
07:50:08,59.3,6.4,71.5,0,1498,0,3.55,1.25,1.49,75,
07:50:30,59.4,6.39,71.6,9,1498,0,3.55,1.25,1.49,76,
07:50:53,59.4,6.39,71.6,7,1498,0,3.55,1.25,1.5,76,
07:51:15,59.4,6.39,71.6,5,1498,0,3.54,1.25,1.5,76,
07:51:37,59.5,6.37,71.7,5,1498,0,3.55,1.25,1.51,77,
07:51:59,59.3,6.4,71.6,0,1498,0,3.55,1.25,1.49,77,
07:52:22,59.1,6.43,71.7,3,1498,0,3.54,1.24,1.51,77,
07:52:43,59.1,6.44,71.6,0,1498,0,3.54,1.24,1.55,78,
07:53:05,58.5,6.53,71.1,2,1498,0,3.54,1.24,1.49,78,
07:53:27,58.6,6.51,71.2,8,1498,0,3.54,1.24,1.51,78,
